category,filename,source_path,selected,selected_filename,priority_score,recommendation_reason,recommended_use
locomotif,04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_l24_72_intervals.png,results/figures/04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_l24_72_intervals.png,True,04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_l24_72_intervals.png,10,"conditioned example, high-volatility example",Presentation and thesis evidence
locomotif,04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_l48_168_intervals.png,results/figures/04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_l48_168_intervals.png,True,04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_l48_168_intervals.png,10,"conditioned example, high-volatility example",Presentation and thesis evidence
locomotif,04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_low_vol_l24_72_intervals.png,results/figures/04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_low_vol_l24_72_intervals.png,True,04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_low_vol_l24_72_intervals.png,10,"conditioned example, low-volatility example",Presentation and thesis evidence
locomotif,04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_low_vol_l48_168_intervals.png,results/figures/04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_low_vol_l48_168_intervals.png,True,04_BTCUSDT_15m_conditioned_quantile_2_rolling_240_low_vol_l48_168_intervals.png,10,"conditioned example, low-volatility example",Presentation and thesis evidence
locomotif,04_BTCUSDT_15m_agnostic_none_all_l24_72_intervals.png,results/figures/04_BTCUSDT_15m_agnostic_none_all_l24_72_intervals.png,True,04_BTCUSDT_15m_agnostic_none_all_l24_72_intervals.png,6,agnostic example,Presentation and thesis evidence
locomotif,04_BTCUSDT_15m_agnostic_none_all_l48_168_intervals.png,results/figures/04_BTCUSDT_15m_agnostic_none_all_l48_168_intervals.png,True,04_BTCUSDT_15m_agnostic_none_all_l48_168_intervals.png,6,agnostic example,Presentation and thesis evidence
matrix_profile,03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w128_overlay.png,results/figures/03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w128_overlay.png,True,03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w128_overlay.png,23,"motif overlay, conditioned example, high-volatility example",Presentation and thesis evidence
matrix_profile,03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w256_overlay.png,results/figures/03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w256_overlay.png,True,03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w256_overlay.png,23,"motif overlay, conditioned example, high-volatility example",Presentation and thesis evidence
matrix_profile,03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w32_overlay.png,results/figures/03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w32_overlay.png,True,03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w32_overlay.png,23,"motif overlay, conditioned example, high-volatility example",Presentation and thesis evidence
matrix_profile,03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w64_overlay.png,results/figures/03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w64_overlay.png,True,03_BTCUSDT_15m_conditioned_quantile_2_rolling_240_high_vol_close_w64_overlay.png,23,"motif overlay, conditioned example, high-volatility example",Presentation and thesis evidence
