asset,frequency,method,mode,regime_method,regime_label,l_min,l_max,rho,number_of_motifs,mean_motif_distance_or_score,recurrence_count,mean_motif_length,median_motif_length,runtime_seconds,time_split_stability,cross_regime_overlap,notes
BTCUSDT,15m,locomotif,agnostic,none,all,24,72,0.65,5,,71,22.154929577464788,23.0,113.44802873022854,0.918918918918919,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,agnostic,none,all,48,168,0.65,4,,25,67.84,59.0,8.229156117886305,0.7857142857142857,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_240,high_vol,24,72,0.65,5,,1003,24.94616151545364,24.0,157.6706026820466,0.13847900113507378,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_240,high_vol,48,168,0.65,5,,512,50.708984375,49.0,76.07250402402133,0.13024282560706402,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_240,low_vol,24,72,0.65,5,,1277,24.848081440877056,24.0,187.9963599173352,0.3701716738197425,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_240,low_vol,48,168,0.65,5,,636,51.382075471698116,48.5,89.5831520203501,0.35319148936170214,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_30,high_vol,24,72,0.65,5,,1003,24.94616151545364,24.0,157.89711947645992,0.13847900113507378,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_30,high_vol,48,168,0.65,5,,512,50.708984375,49.0,76.00119134131819,0.13024282560706402,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_30,low_vol,24,72,0.65,5,,1277,24.848081440877056,24.0,187.94886631798,0.3701716738197425,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_30,low_vol,48,168,0.65,5,,636,51.382075471698116,48.5,89.75117964483798,0.35319148936170214,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_60,high_vol,24,72,0.65,5,,1003,24.94616151545364,24.0,157.96157868299633,0.13847900113507378,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
BTCUSDT,15m,locomotif,conditioned,quantile_2_rolling_60,high_vol,48,168,0.65,5,,512,50.708984375,49.0,76.22535686474293,0.13024282560706402,,Real LoCoMotif motif intervals parsed from apply_locomotif output.
