module,raw_motif_sets_count,runtime_seconds,rows,asset,frequency,mode,regime_method,regime_label,segment_id,feature_set,l_min,l_max,rho,nb,overlap,warping,status
locomotif.locomotif,5,1.5978595595806837,71,BTCUSDT,15m,agnostic,none,all,full_series,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,4,0.3291662447154522,25,BTCUSDT,15m,agnostic,none,all,full_series,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.21250421833246946,59,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0001,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,3,0.19196267146617174,26,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0001,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.05767377931624651,27,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0002,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,2,0.05060172639787197,13,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0002,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,2,0.03160604275763035,17,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0003,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,1,0.027382683008909225,6,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0003,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,4,0.05266761314123869,30,BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,low_vol_0004,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,3,0.0523708863183856,15,BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,low_vol_0004,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.3997782487422228,69,BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,low_vol_0005,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,5,0.3718769857659936,40,BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,low_vol_0005,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,3,0.027598527260124683,21,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0006,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,3,0.02418336272239685,11,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0006,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,4,0.03784055821597576,23,BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,low_vol_0007,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,3,0.03307632450014353,12,BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,low_vol_0007,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.04047411773353815,31,BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,low_vol_0008,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,1,0.0351874390617013,8,BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,low_vol_0008,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.23642422445118427,57,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0009,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,4,0.21378774754703045,28,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0009,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.05904384050518274,30,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0010,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,2,0.053139111027121544,15,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0010,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.39553650096058846,75,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0011,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,5,0.36890232283622026,39,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0011,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.05916775669902563,30,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0012,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,5,0.056814308278262615,19,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0012,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.12217186111956835,42,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0013,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,4,0.10747513268142939,22,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0013,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.31972486805170774,60,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0014,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,5,0.2941741496324539,34,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0014,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.4044808894395828,71,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0015,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,5,0.3812654232606292,40,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0015,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,3,0.02586995903402567,19,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0016,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,3,0.02399839460849762,11,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0016,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.10805968195199966,39,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0017,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,3,0.09903002437204123,19,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0017,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.08733027335256338,34,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0018,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,5,0.08405627962201834,20,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0018,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.12883493024855852,45,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0019,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,3,0.11755620129406452,19,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0019,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.06548470444977283,32,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0020,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,4,0.059084370732307434,16,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0020,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,4,0.025981416925787926,23,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0021,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,2,0.02227365132421255,8,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0021,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
locomotif.locomotif,5,0.139777104370296,46,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0022,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",24,72,0.65,5,0.2,True,success
locomotif.locomotif,5,0.12736010272055864,26,BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,high_vol_0022,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",48,168,0.65,5,0.2,True,success
