asset,frequency,mode,regime_method,regime_label,feature_set,motif_set_rank,motif_instance_id,motif_start,motif_end,motif_start_timestamp,motif_end_timestamp,motif_length,motif_score,motif_set_size,runtime_seconds,status
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,1,1174,1198,2020-01-13 05:30:00+00:00,2020-01-13 11:15:00+00:00,24,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,2,1174,1198,2020-01-13 05:30:00+00:00,2020-01-13 11:15:00+00:00,24,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,3,1157,1171,2020-01-13 01:15:00+00:00,2020-01-13 04:30:00+00:00,14,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,4,1209,1238,2020-01-13 14:15:00+00:00,2020-01-13 21:15:00+00:00,29,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,5,1141,1158,2020-01-12 21:15:00+00:00,2020-01-13 01:15:00+00:00,17,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,6,433,456,2020-01-05 12:15:00+00:00,2020-01-05 17:45:00+00:00,23,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,7,1938,1957,2020-01-21 04:30:00+00:00,2020-01-21 09:00:00+00:00,19,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,8,310,330,2020-01-04 05:30:00+00:00,2020-01-04 10:15:00+00:00,20,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,9,458,480,2020-01-05 18:30:00+00:00,2020-01-05 23:45:00+00:00,22,,42,1.5978595595806837,success
BTCUSDT,15m,agnostic,none,all,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,10,381,407,2020-01-04 23:15:00+00:00,2020-01-05 05:30:00+00:00,26,,42,1.5978595595806837,success
