asset,frequency,mode,regime_method,regime_label,feature_set,motif_set_rank,motif_instance_id,motif_start,motif_end,motif_start_timestamp,motif_end_timestamp,motif_length,motif_score,motif_set_size,runtime_seconds,status
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,1,1622,1646,2020-03-27 07:45:00+00:00,2020-03-27 13:30:00+00:00,24,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,2,1622,1646,2020-03-27 07:45:00+00:00,2020-03-27 13:30:00+00:00,24,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,3,1602,1616,2020-03-27 02:45:00+00:00,2020-03-27 06:00:00+00:00,14,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,4,1587,1602,2020-03-26 23:00:00+00:00,2020-03-27 02:30:00+00:00,15,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,5,1570,1584,2020-03-26 18:45:00+00:00,2020-03-26 22:00:00+00:00,14,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,6,1541,1556,2020-03-26 11:30:00+00:00,2020-03-26 15:00:00+00:00,15,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,7,149,169,2020-03-11 23:30:00+00:00,2020-03-12 04:15:00+00:00,20,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,8,1526,1541,2020-03-26 07:45:00+00:00,2020-03-26 11:15:00+00:00,15,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,9,1512,1527,2020-03-26 04:15:00+00:00,2020-03-26 07:45:00+00:00,15,,34,0.21250421833246946,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,high_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,10,1417,1436,2020-03-25 04:30:00+00:00,2020-03-25 09:00:00+00:00,19,,34,0.21250421833246946,success
