asset,frequency,mode,regime_method,regime_label,feature_set,motif_set_rank,motif_instance_id,motif_start,motif_end,motif_start_timestamp,motif_end_timestamp,motif_length,motif_score,motif_set_size,runtime_seconds,status
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,1,418,442,2020-06-21 02:30:00+00:00,2020-06-21 08:15:00+00:00,24,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,2,418,442,2020-06-21 02:30:00+00:00,2020-06-21 08:15:00+00:00,24,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,3,403,420,2020-06-20 22:45:00+00:00,2020-06-21 02:45:00+00:00,17,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,4,440,480,2020-06-21 08:00:00+00:00,2020-06-21 17:45:00+00:00,40,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,5,474,508,2020-06-21 16:30:00+00:00,2020-06-22 00:45:00+00:00,34,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,6,338,366,2020-06-20 06:30:00+00:00,2020-06-20 13:15:00+00:00,28,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,7,317,333,2020-06-20 01:15:00+00:00,2020-06-20 05:00:00+00:00,16,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,8,175,194,2020-06-18 13:45:00+00:00,2020-06-18 18:15:00+00:00,19,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,9,154,177,2020-06-18 08:30:00+00:00,2020-06-18 14:00:00+00:00,23,,14,0.05266761314123869,success
BTCUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,"log_return,abs_log_return,rolling_volatility_60,rolling_volatility_30,hl_range,volume_zscore,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,spread_proxy,open,high,low,close,volume,pct_return,rolling_volatility_240,absolute_return,squared_return,rolling_vol,range",1,10,137,156,2020-06-18 04:15:00+00:00,2020-06-18 08:45:00+00:00,19,,14,0.05266761314123869,success
