asset,frequency,mode,regime_method,window_length,profile_type,runtime_seconds
BTCUSDT,15m,agnostic,none,32,multivariate,82187.74314764887
BTCUSDT,15m,agnostic,none,32,univariate,379.52823410276324
BTCUSDT,15m,agnostic,none,64,multivariate,83244.49830437079
BTCUSDT,15m,agnostic,none,64,univariate,229.806060930714
BTCUSDT,15m,agnostic,none,128,multivariate,84879.6822705213
BTCUSDT,15m,agnostic,none,128,univariate,230.87310963775963
BTCUSDT,15m,agnostic,none,256,multivariate,85043.87451597955
BTCUSDT,15m,agnostic,none,256,univariate,233.95269566681236
BTCUSDT,15m,conditioned,quantile_2_rolling_240,32,multivariate,456.269934495911
BTCUSDT,15m,conditioned,quantile_2_rolling_240,32,univariate,20.406469059176743
BTCUSDT,15m,conditioned,quantile_2_rolling_240,64,multivariate,396.72642372967675
BTCUSDT,15m,conditioned,quantile_2_rolling_240,64,univariate,16.148536642547697
BTCUSDT,15m,conditioned,quantile_2_rolling_240,128,multivariate,308.95241599995643
BTCUSDT,15m,conditioned,quantile_2_rolling_240,128,univariate,10.982293812092394
BTCUSDT,15m,conditioned,quantile_2_rolling_240,256,multivariate,213.06108237756416
BTCUSDT,15m,conditioned,quantile_2_rolling_240,256,univariate,6.197821958456188
BTCUSDT,15m,conditioned,quantile_2_rolling_30,32,multivariate,456.6617584768683
BTCUSDT,15m,conditioned,quantile_2_rolling_30,32,univariate,20.165165921207517
BTCUSDT,15m,conditioned,quantile_2_rolling_30,64,multivariate,397.15939326398075
BTCUSDT,15m,conditioned,quantile_2_rolling_30,64,univariate,16.029679867438972
BTCUSDT,15m,conditioned,quantile_2_rolling_30,128,multivariate,308.58763773180544
BTCUSDT,15m,conditioned,quantile_2_rolling_30,128,univariate,11.028264353983104
BTCUSDT,15m,conditioned,quantile_2_rolling_30,256,multivariate,213.7542265621014
BTCUSDT,15m,conditioned,quantile_2_rolling_30,256,univariate,6.173743489198387
BTCUSDT,15m,conditioned,quantile_2_rolling_60,32,multivariate,459.00558045413345
BTCUSDT,15m,conditioned,quantile_2_rolling_60,32,univariate,20.331083981785923
BTCUSDT,15m,conditioned,quantile_2_rolling_60,64,multivariate,396.0181263801642
BTCUSDT,15m,conditioned,quantile_2_rolling_60,64,univariate,16.276732952799648
BTCUSDT,15m,conditioned,quantile_2_rolling_60,128,multivariate,310.3352748393081
BTCUSDT,15m,conditioned,quantile_2_rolling_60,128,univariate,11.024775253608823
BTCUSDT,15m,conditioned,quantile_2_rolling_60,256,multivariate,214.0809438903816
BTCUSDT,15m,conditioned,quantile_2_rolling_60,256,univariate,6.278041178826243
BTCUSDT,15m,conditioned,quantile_3_rolling_240,32,multivariate,157.4001998808235
BTCUSDT,15m,conditioned,quantile_3_rolling_240,32,univariate,8.927720352541655
BTCUSDT,15m,conditioned,quantile_3_rolling_240,64,multivariate,132.8375901253894
BTCUSDT,15m,conditioned,quantile_3_rolling_240,64,univariate,7.158109300304204
BTCUSDT,15m,conditioned,quantile_3_rolling_240,128,multivariate,89.31794281350449
BTCUSDT,15m,conditioned,quantile_3_rolling_240,128,univariate,4.736744148656726
BTCUSDT,15m,conditioned,quantile_3_rolling_240,256,multivariate,37.01670227618888
BTCUSDT,15m,conditioned,quantile_3_rolling_240,256,univariate,2.0965830595232546
BTCUSDT,15m,conditioned,quantile_3_rolling_30,32,multivariate,157.68746517645195
BTCUSDT,15m,conditioned,quantile_3_rolling_30,32,univariate,8.851875638123602
BTCUSDT,15m,conditioned,quantile_3_rolling_30,64,multivariate,132.83451700676233
BTCUSDT,15m,conditioned,quantile_3_rolling_30,64,univariate,7.088815777562559
BTCUSDT,15m,conditioned,quantile_3_rolling_30,128,multivariate,89.31736550340429
BTCUSDT,15m,conditioned,quantile_3_rolling_30,128,univariate,4.6987791219726205
BTCUSDT,15m,conditioned,quantile_3_rolling_30,256,multivariate,36.68250197172165
BTCUSDT,15m,conditioned,quantile_3_rolling_30,256,univariate,2.062809984665364
BTCUSDT,15m,conditioned,quantile_3_rolling_60,32,multivariate,157.5946894972585
BTCUSDT,15m,conditioned,quantile_3_rolling_60,32,univariate,8.805119187571108
BTCUSDT,15m,conditioned,quantile_3_rolling_60,64,multivariate,132.8479707944207
BTCUSDT,15m,conditioned,quantile_3_rolling_60,64,univariate,7.057000127620995
BTCUSDT,15m,conditioned,quantile_3_rolling_60,128,multivariate,89.13400266040117
BTCUSDT,15m,conditioned,quantile_3_rolling_60,128,univariate,4.67338457563892
BTCUSDT,15m,conditioned,quantile_3_rolling_60,256,multivariate,39.52775092795491
BTCUSDT,15m,conditioned,quantile_3_rolling_60,256,univariate,2.0776746636256576
