motif_id,asset,frequency,mode,regime_label,window_length,start_1,start_2,overlap_length,overlap_ratio
30813,BTCUSDT,1h,agnostic,all,24,1692,5113,0,0.0
39926,ETHUSDT,15m,agnostic,all,32,126827,131352,0,0.0
20,BTCUSDT,15m,agnostic,all,32,131346,1757,0,0.0
39927,ETHUSDT,15m,agnostic,all,32,12429,19511,0,0.0
21,BTCUSDT,15m,agnostic,all,32,21326,138128,0,0.0
39928,ETHUSDT,15m,agnostic,all,32,12468,1804,0,0.0
39929,ETHUSDT,15m,agnostic,all,32,131334,153594,0,0.0
39930,ETHUSDT,15m,agnostic,all,32,14747,106364,0,0.0
74157,ETHUSDT,1h,agnostic,all,24,30223,34525,0,0.0
22,BTCUSDT,15m,agnostic,all,32,20540,124724,0,0.0
30814,BTCUSDT,1h,agnostic,all,24,30223,30002,0,0.0
23,BTCUSDT,15m,agnostic,all,32,14731,132794,0,0.0
39931,ETHUSDT,15m,agnostic,all,32,179351,108133,0,0.0
24,BTCUSDT,15m,agnostic,all,32,27149,12468,0,0.0
30815,BTCUSDT,1h,agnostic,all,24,25766,1241,0,0.0
30816,BTCUSDT,1h,agnostic,all,24,1752,32892,0,0.0
74158,ETHUSDT,1h,agnostic,all,24,32035,47930,0,0.0
39932,ETHUSDT,15m,agnostic,all,32,125412,106307,0,0.0
25,BTCUSDT,15m,agnostic,all,32,12416,19343,0,0.0
39933,ETHUSDT,15m,agnostic,all,32,119295,140375,0,0.0
30817,BTCUSDT,1h,agnostic,all,24,3420,27793,0,0.0
39934,ETHUSDT,15m,agnostic,all,32,131391,124579,0,0.0
26,BTCUSDT,15m,agnostic,all,32,78306,137335,0,0.0
30818,BTCUSDT,1h,agnostic,all,24,27721,9673,0,0.0
39935,ETHUSDT,15m,agnostic,all,32,94002,101987,0,0.0
74159,ETHUSDT,1h,agnostic,all,24,27727,22818,0,0.0
74160,ETHUSDT,1h,agnostic,all,24,27782,3154,0,0.0
74161,ETHUSDT,1h,agnostic,all,24,4869,25493,0,0.0
27,BTCUSDT,15m,agnostic,all,32,119161,133457,0,0.0
28,BTCUSDT,15m,agnostic,all,32,93946,94600,0,0.0
30819,BTCUSDT,1h,agnostic,all,24,21272,48362,0,0.0
30820,BTCUSDT,1h,agnostic,all,24,31753,14733,0,0.0
29,BTCUSDT,15m,agnostic,all,32,94551,66062,0,0.0
30821,BTCUSDT,1h,agnostic,all,24,25827,32043,0,0.0
30822,BTCUSDT,1h,agnostic,all,24,48416,28257,0,0.0
39966,ETHUSDT,15m,agnostic,all,64,138089,126829,0,0.0
74162,ETHUSDT,1h,agnostic,all,24,31818,27425,0,0.0
61775,ETHUSDT,15m,conditioned,low_vol,32,3048,899,0,0.0
67521,ETHUSDT,15m,conditioned,low_vol,32,3048,899,0,0.0
64648,ETHUSDT,15m,conditioned,low_vol,32,3048,899,0,0.0
44023,ETHUSDT,15m,conditioned,low_vol,32,3147,998,0,0.0
57119,ETHUSDT,15m,conditioned,low_vol,32,3147,998,0,0.0
50571,ETHUSDT,15m,conditioned,low_vol,32,3147,998,0,0.0
39967,ETHUSDT,15m,agnostic,all,64,19488,131331,0,0.0
74163,ETHUSDT,1h,agnostic,all,24,3892,31763,0,0.0
74164,ETHUSDT,1h,agnostic,all,24,48444,1753,0,0.0
74165,ETHUSDT,1h,agnostic,all,24,3726,51882,0,0.0
36170,BTCUSDT,1h,conditioned,high_vol,24,1174,930,0,0.0
38322,BTCUSDT,1h,conditioned,extreme_vol,24,630,874,0,0.0
36887,BTCUSDT,1h,conditioned,high_vol,24,1174,930,0,0.0
