asset,frequency,hmm_method,quantile_method,observations,adjusted_rand_index,normalized_mutual_information,sklearn_available
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_240,210280,0.10490666560709044,0.10127863850855656,True
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_30,210280,0.10490666560709044,0.10127863850855656,True
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_60,210280,0.10490666560709044,0.10127863850855656,True
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,210280,0.09669580658576664,0.10834815967375332,True
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,210280,0.09669580658576664,0.10834815967375332,True
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_60,210280,0.09669580658576664,0.10834815967375332,True
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_240,210280,0.08303476223544164,0.10702667503309504,True
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_30,210280,0.08303476223544164,0.10702667503309504,True
BTCUSDT,15m,hmm_4_states,quantile_4_rolling_60,210280,0.08303476223544164,0.10702667503309504,True
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_240,2192,0.03160176059892402,0.0321551898532458,True
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_30,2192,0.03160176059892402,0.0321551898532458,True
BTCUSDT,1d,hmm_4_states,quantile_2_rolling_60,2192,0.03160176059892402,0.0321551898532458,True
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_240,2192,0.03514543337036854,0.04029363624463403,True
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_30,2192,0.03514543337036854,0.04029363624463403,True
BTCUSDT,1d,hmm_4_states,quantile_3_rolling_60,2192,0.03514543337036854,0.04029363624463403,True
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_240,2192,0.028982887110281186,0.03854004756895346,True
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_30,2192,0.028982887110281186,0.03854004756895346,True
BTCUSDT,1d,hmm_4_states,quantile_4_rolling_60,2192,0.028982887110281186,0.03854004756895346,True
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_240,52577,0.07733666354425106,0.08138329788382186,True
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_30,52577,0.07733666354425106,0.08138329788382186,True
BTCUSDT,1h,hmm_4_states,quantile_2_rolling_60,52577,0.07733666354425106,0.08138329788382186,True
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_240,52577,0.06962155599862585,0.08208230368150446,True
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_30,52577,0.06962155599862585,0.08208230368150446,True
BTCUSDT,1h,hmm_4_states,quantile_3_rolling_60,52577,0.06962155599862585,0.08208230368150446,True
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_240,52577,0.06247050201877879,0.08249898404703412,True
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_30,52577,0.06247050201877879,0.08249898404703412,True
BTCUSDT,1h,hmm_4_states,quantile_4_rolling_60,52577,0.06247050201877879,0.08249898404703412,True
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_240,3154155,0.13667999218479682,0.15020550323164147,True
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_30,3154155,0.13667999218479682,0.15020550323164147,True
BTCUSDT,1m,hmm_4_states,quantile_2_rolling_60,3154155,0.13667999218479682,0.15020550323164147,True
BTCUSDT,1m,hmm_4_states,quantile_3_rolling_240,3154155,0.14098812005817715,0.16654522837321153,True
BTCUSDT,1m,hmm_4_states,quantile_3_rolling_30,3154155,0.14098812005817715,0.16654522837321153,True
BTCUSDT,1m,hmm_4_states,quantile_3_rolling_60,3154155,0.14098812005817715,0.16654522837321153,True
BTCUSDT,1m,hmm_4_states,quantile_4_rolling_240,3154155,0.1279957754449365,0.1671061826562993,True
