asset,frequency,regime_method_hmm,regime_method_quantile,regime_label_hmm,regime_label_quantile,count
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_240,extreme_vol,high_vol,1
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_240,high_vol,high_vol,19997
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_240,high_vol,low_vol,3218
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_240,low_vol,high_vol,29636
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_240,low_vol,low_vol,68825
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_240,medium_vol,high_vol,55506
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_240,medium_vol,low_vol,33097
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_30,extreme_vol,high_vol,1
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_30,high_vol,high_vol,19997
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_30,high_vol,low_vol,3218
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_30,low_vol,high_vol,29636
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_30,low_vol,low_vol,68825
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_30,medium_vol,high_vol,55506
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_30,medium_vol,low_vol,33097
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_60,extreme_vol,high_vol,1
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_60,high_vol,high_vol,19997
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_60,high_vol,low_vol,3218
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_60,low_vol,high_vol,29636
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_60,low_vol,low_vol,68825
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_60,medium_vol,high_vol,55506
BTCUSDT,15m,hmm_4_states,quantile_2_rolling_60,medium_vol,low_vol,33097
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,extreme_vol,high_vol,1
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,high_vol,high_vol,17400
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,high_vol,low_vol,1496
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,high_vol,medium_vol,4319
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,low_vol,high_vol,14652
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,low_vol,low_vol,50586
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,low_vol,medium_vol,33223
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,medium_vol,high_vol,38041
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,medium_vol,low_vol,18011
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_240,medium_vol,medium_vol,32551
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,extreme_vol,high_vol,1
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,high_vol,high_vol,17400
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,high_vol,low_vol,1496
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,high_vol,medium_vol,4319
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,low_vol,high_vol,14652
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,low_vol,low_vol,50586
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,low_vol,medium_vol,33223
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,medium_vol,high_vol,38041
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,medium_vol,low_vol,18011
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_30,medium_vol,medium_vol,32551
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_60,extreme_vol,high_vol,1
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_60,high_vol,high_vol,17400
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_60,high_vol,low_vol,1496
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_60,high_vol,medium_vol,4319
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_60,low_vol,high_vol,14652
BTCUSDT,15m,hmm_4_states,quantile_3_rolling_60,low_vol,low_vol,50586
