asset,frequency,n_states,status,log_likelihood,aic,bic,runtime_seconds,error,selected
BTCUSDT,15m,2,success,-2643073.360420359,5286200.720840718,5286477.638112601,1.5336975757963955,,False
BTCUSDT,15m,3,success,-1574684.814299981,3149457.628599962,3149908.901191179,5.376136641018093,,False
BTCUSDT,15m,4,success,-1269882.2654084964,2539890.5308169927,2540536.6711180536,14.80384587822482,,True
BTCUSDT,1d,2,success,-20898.859793513107,41851.719587026215,42005.41896752405,0.018994631245732307,,False
BTCUSDT,1d,3,success,-14132.173747127978,28352.347494255955,28602.82055877094,0.053672864101827145,,False
BTCUSDT,1d,4,success,-11806.399796193984,23738.799592387968,24097.431480216244,0.370394058059901,,True
BTCUSDT,1h,2,success,-384083.131643015,768220.26328603,768459.75420513,1.6480538598261774,,False
BTCUSDT,1h,3,success,-352138.701396501,704365.402793002,704755.6842907945,2.3721564994193614,,False
BTCUSDT,1h,4,success,-292856.9360359599,585839.8720719198,586398.6842164865,4.206410421989858,,True
BTCUSDT,1m,2,success,-24320661.91774254,48641377.83548508,48641727.86972719,51.738446584902704,,False
BTCUSDT,1m,3,success,-18779026.998002235,37558141.99600447,37558712.42217679,174.76763043366373,,False
BTCUSDT,1m,4,success,-16065348.715394454,32130823.43078891,32131640.17735383,505.53432182222605,,True
BTCUSDT,5m,2,success,-4845042.419120783,9690138.838241566,9690445.417788442,9.632684592623264,,True
BTCUSDT,5m,3,failed,,,,69.86083893012255,ValueError('startprob_ must sum to 1 (got nan)'),False
BTCUSDT,5m,4,failed,,,,97.0923974039033,ValueError('startprob_ must sum to 1 (got nan)'),False
ETHUSDT,15m,2,success,-1567719.686583083,3135493.373166166,3135770.290438049,3.9706600941717625,,False
ETHUSDT,15m,3,success,-1553116.8570950984,3106321.7141901967,3106772.9867814137,5.515442539006472,,False
ETHUSDT,15m,4,success,-1256103.9991852234,2512333.9983704467,2512980.1386715076,14.656043909024447,,True
ETHUSDT,1d,2,success,-21084.754116440185,42223.50823288037,42377.2076133782,0.02257916610687971,,False
ETHUSDT,1d,3,success,-14467.027730099986,29022.055460199972,29272.52852471496,0.09065742883831263,,False
ETHUSDT,1d,4,success,-11911.514775120764,23949.02955024153,24307.661438069805,0.14587030792608857,,True
ETHUSDT,1h,2,success,-376903.1847514142,753860.3695028285,754099.8604219285,1.675575538072735,,False
ETHUSDT,1h,3,success,-305442.0993528489,610972.1987056978,611362.4802034904,3.874483352061361,,False
ETHUSDT,1h,4,success,-303233.6433077304,606593.2866154608,607152.0987600274,4.893671832047403,,True
ETHUSDT,1m,2,success,-24360612.297260005,48721278.59452001,48721628.62875356,47.45664823707193,,False
ETHUSDT,1m,3,success,-22858925.915698536,45717939.83139707,45718510.25755545,86.45596966985613,,False
ETHUSDT,1m,4,success,-18329847.426750515,36659820.85350103,36660637.60004598,279.01738377520815,,True
ETHUSDT,5m,2,success,-4814506.467951982,9629066.935903965,9629373.51545084,9.873506002128124,,False
ETHUSDT,5m,3,success,-3823567.5648523797,7647223.129704759,7647722.740818187,32.435318500734866,,False
ETHUSDT,5m,4,success,-3343663.3026945326,6687452.605389065,6688167.957665108,107.484544984065,,True
DAX,1d,2,success,-27211.47496433622,54476.94992867244,54647.28461042709,0.10565003380179405,,False
DAX,1d,3,success,-22894.913527729535,45877.82705545907,46155.409499799985,0.26028955122455955,,False
DAX,1d,4,success,-20426.213168437454,40978.42633687491,41375.87392763576,0.5864298571832478,,True
NASDAQ100,1d,2,success,-26950.307520273032,53954.615040546065,54124.715896764115,0.08666532905772328,,False
NASDAQ100,1d,3,success,-22558.241261140018,45204.482522280035,45481.68391759833,0.19572425540536642,,False
NASDAQ100,1d,4,success,-20263.72161852705,40653.4432370541,41050.34523489622,0.8958483748137951,,True
SP500,1d,2,success,-28487.81833717326,57029.63667434652,57199.73753056457,0.09208945510908961,,False
SP500,1d,3,success,-23517.778203303602,47123.556406607204,47400.7578019255,0.1792086069472134,,False
SP500,1d,4,success,-20817.914981778893,41761.829963557786,42158.7319613999,0.4022104819305241,,True
EURUSD,1d,2,success,-15195.440858603106,30436.88171720621,30573.95309922347,0.09127659071236849,,False
EURUSD,1d,3,success,-12484.6146057471,25045.2292114942,25271.694973087928,0.20302536617964506,,False
EURUSD,1d,4,success,-11017.262712832202,22144.525425664404,22472.3048174448,0.3109237030148506,,True
GBPUSD,1d,2,success,-23177.025887780354,46400.05177556071,46537.12315757796,0.024247057735919952,,False
GBPUSD,1d,3,success,-16566.27426401244,33208.54852802488,33435.01428961861,0.11074095778167248,,False
GBPUSD,1d,4,success,-13786.581527639237,27683.163055278474,28010.94244705887,0.5972102410160005,,True
VIX,1d,2,success,-22101.020936074434,44248.04187214887,44392.9426015198,0.11168487789109349,,False
VIX,1d,3,success,-17762.68644005573,35601.37288011146,35840.774085159086,0.1590824918821454,,False
VIX,1d,4,success,-17570.542798134567,35251.085596269135,35597.58734041701,0.3097476917319,,True
