method_family,asset,frequency,regime_method,regime_label,self_transition_probability
quantile,BTCUSDT,15m,quantile_2_rolling_30,high_vol,0.9887863800646757
quantile,BTCUSDT,15m,quantile_2_rolling_30,low_vol,0.9887862734094864
quantile,BTCUSDT,15m,quantile_3_rolling_30,high_vol,0.985576511541644
quantile,BTCUSDT,15m,quantile_3_rolling_30,low_vol,0.9841922045311876
quantile,BTCUSDT,15m,quantile_3_rolling_30,medium_vol,0.9701967386186923
quantile,BTCUSDT,15m,quantile_4_rolling_30,extreme_vol,0.9836028152938938
quantile,BTCUSDT,15m,quantile_4_rolling_30,low_vol,0.982822576042915
quantile,BTCUSDT,15m,quantile_4_rolling_30,high_vol,0.9620505992010653
quantile,BTCUSDT,15m,quantile_4_rolling_30,medium_vol,0.961137530911166
quantile,BTCUSDT,15m,quantile_2_rolling_60,high_vol,0.9887863800646757
quantile,BTCUSDT,15m,quantile_2_rolling_60,low_vol,0.9887862734094864
quantile,BTCUSDT,15m,quantile_3_rolling_60,high_vol,0.985576511541644
quantile,BTCUSDT,15m,quantile_3_rolling_60,low_vol,0.9841922045311876
quantile,BTCUSDT,15m,quantile_3_rolling_60,medium_vol,0.9701967386186923
quantile,BTCUSDT,15m,quantile_4_rolling_60,extreme_vol,0.9836028152938938
quantile,BTCUSDT,15m,quantile_4_rolling_60,low_vol,0.982822576042915
quantile,BTCUSDT,15m,quantile_4_rolling_60,high_vol,0.9620505992010653
quantile,BTCUSDT,15m,quantile_4_rolling_60,medium_vol,0.961137530911166
quantile,BTCUSDT,15m,quantile_2_rolling_240,high_vol,0.9887863800646757
quantile,BTCUSDT,15m,quantile_2_rolling_240,low_vol,0.9887862734094864
quantile,BTCUSDT,15m,quantile_3_rolling_240,high_vol,0.985576511541644
quantile,BTCUSDT,15m,quantile_3_rolling_240,low_vol,0.9841922045311876
quantile,BTCUSDT,15m,quantile_3_rolling_240,medium_vol,0.9701967386186923
quantile,BTCUSDT,15m,quantile_4_rolling_240,extreme_vol,0.9836028152938938
quantile,BTCUSDT,15m,quantile_4_rolling_240,low_vol,0.982822576042915
quantile,BTCUSDT,15m,quantile_4_rolling_240,high_vol,0.9620505992010653
quantile,BTCUSDT,15m,quantile_4_rolling_240,medium_vol,0.961137530911166
quantile,BTCUSDT,1d,quantile_2_rolling_30,high_vol,0.9817518248175182
quantile,BTCUSDT,1d,quantile_2_rolling_30,low_vol,0.982648401826484
quantile,BTCUSDT,1d,quantile_3_rolling_30,low_vol,0.9794520547945206
quantile,BTCUSDT,1d,quantile_3_rolling_30,high_vol,0.9740082079343365
quantile,BTCUSDT,1d,quantile_3_rolling_30,medium_vol,0.952054794520548
quantile,BTCUSDT,1d,quantile_4_rolling_30,extreme_vol,0.9744525547445255
quantile,BTCUSDT,1d,quantile_4_rolling_30,low_vol,0.9670932358318098
quantile,BTCUSDT,1d,quantile_4_rolling_30,high_vol,0.9379562043795621
quantile,BTCUSDT,1d,quantile_4_rolling_30,medium_vol,0.9306569343065694
quantile,BTCUSDT,1d,quantile_2_rolling_60,high_vol,0.9817518248175182
quantile,BTCUSDT,1d,quantile_2_rolling_60,low_vol,0.982648401826484
quantile,BTCUSDT,1d,quantile_3_rolling_60,low_vol,0.9794520547945206
quantile,BTCUSDT,1d,quantile_3_rolling_60,high_vol,0.9740082079343365
quantile,BTCUSDT,1d,quantile_3_rolling_60,medium_vol,0.952054794520548
quantile,BTCUSDT,1d,quantile_4_rolling_60,extreme_vol,0.9744525547445255
quantile,BTCUSDT,1d,quantile_4_rolling_60,low_vol,0.9670932358318098
quantile,BTCUSDT,1d,quantile_4_rolling_60,high_vol,0.9379562043795621
