method_family,asset,frequency,regime_method,regime_label,count,mean,median
HMM,BTCUSDT,15m,hmm_4_states,extreme_vol,1,1.0,1.0
HMM,BTCUSDT,15m,hmm_4_states,high_vol,11758,1.9744004082326927,1.0
HMM,BTCUSDT,15m,hmm_4_states,low_vol,32139,3.0635987429602665,2.0
HMM,BTCUSDT,15m,hmm_4_states,medium_vol,40781,2.172653931978127,1.0
HMM,BTCUSDT,1d,hmm_4_states,extreme_vol,1,1.0,1.0
HMM,BTCUSDT,1d,hmm_4_states,high_vol,290,1.4620689655172414,1.0
HMM,BTCUSDT,1d,hmm_4_states,low_vol,431,1.9605568445475638,1.0
HMM,BTCUSDT,1d,hmm_4_states,medium_vol,532,1.7330827067669172,1.0
HMM,BTCUSDT,1h,hmm_4_states,extreme_vol,547,1.0,1.0
HMM,BTCUSDT,1h,hmm_4_states,high_vol,5217,1.7749664558175196,1.0
HMM,BTCUSDT,1h,hmm_4_states,low_vol,8536,2.4961340206185567,1.0
HMM,BTCUSDT,1h,hmm_4_states,medium_vol,11187,1.918566192902476,1.0
HMM,BTCUSDT,1m,hmm_4_states,extreme_vol,95449,2.089859506123689,1.0
HMM,BTCUSDT,1m,hmm_4_states,high_vol,425093,2.284608309240566,1.0
HMM,BTCUSDT,1m,hmm_4_states,low_vol,470770,1.8471950209231685,1.0
HMM,BTCUSDT,1m,hmm_4_states,medium_vol,582966,1.910754658076114,1.0
HMM,BTCUSDT,5m,hmm_2_states,high_vol,58584,2.3704936501433838,1.0
HMM,BTCUSDT,5m,hmm_2_states,low_vol,58585,8.397388410002561,3.0
HMM,DAX,1d,hmm_4_states,extreme_vol,180,2.433333333333333,1.0
HMM,DAX,1d,hmm_4_states,high_vol,761,1.431011826544021,1.0
HMM,DAX,1d,hmm_4_states,low_vol,743,1.4858681022880216,1.0
HMM,DAX,1d,hmm_4_states,medium_vol,930,1.5354838709677419,1.0
HMM,ETHUSDT,15m,hmm_4_states,extreme_vol,1,1.0,1.0
HMM,ETHUSDT,15m,hmm_4_states,high_vol,12578,1.946414374304341,1.0
HMM,ETHUSDT,15m,hmm_4_states,low_vol,33267,2.934409474854961,2.0
HMM,ETHUSDT,15m,hmm_4_states,medium_vol,41811,2.1089665399057664,1.0
HMM,ETHUSDT,1d,hmm_4_states,extreme_vol,1,1.0,1.0
HMM,ETHUSDT,1d,hmm_4_states,high_vol,250,1.836,1.0
HMM,ETHUSDT,1d,hmm_4_states,low_vol,450,1.9288888888888889,1.0
HMM,ETHUSDT,1d,hmm_4_states,medium_vol,485,1.7814432989690723,1.0
HMM,ETHUSDT,1h,hmm_4_states,extreme_vol,1,1.0,1.0
HMM,ETHUSDT,1h,hmm_4_states,high_vol,4212,1.8618233618233617,1.0
HMM,ETHUSDT,1h,hmm_4_states,low_vol,8962,2.519192144610578,2.0
HMM,ETHUSDT,1h,hmm_4_states,medium_vol,11241,1.9710879814963083,1.0
HMM,ETHUSDT,1m,hmm_4_states,extreme_vol,17174,1.0,1.0
HMM,ETHUSDT,1m,hmm_4_states,high_vol,209794,2.0722661277252925,1.0
HMM,ETHUSDT,1m,hmm_4_states,low_vol,471015,2.803723872912752,2.0
HMM,ETHUSDT,1m,hmm_4_states,medium_vol,614772,2.247394155882181,2.0
HMM,ETHUSDT,5m,hmm_4_states,extreme_vol,21112,1.9230769230769231,1.0
HMM,ETHUSDT,5m,hmm_4_states,high_vol,91585,2.032559917016979,1.0
HMM,ETHUSDT,5m,hmm_4_states,low_vol,107105,1.7659119555576304,1.0
HMM,ETHUSDT,5m,hmm_4_states,medium_vol,121139,1.7743583816937567,1.0
HMM,EURUSD,1d,hmm_4_states,extreme_vol,184,1.9619565217391304,1.0
HMM,EURUSD,1d,hmm_4_states,high_vol,554,1.3808664259927799,1.0
HMM,EURUSD,1d,hmm_4_states,low_vol,581,1.4130808950086058,1.0
HMM,EURUSD,1d,hmm_4_states,medium_vol,624,1.4679487179487178,1.0
HMM,GBPUSD,1d,hmm_4_states,extreme_vol,1,1.0,1.0
HMM,GBPUSD,1d,hmm_4_states,high_vol,208,2.480769230769231,1.0
HMM,GBPUSD,1d,hmm_4_states,low_vol,633,1.669826224328594,1.0
HMM,GBPUSD,1d,hmm_4_states,medium_vol,634,2.033123028391167,2.0
HMM,NASDAQ100,1d,hmm_4_states,extreme_vol,214,1.9158878504672898,1.0
HMM,NASDAQ100,1d,hmm_4_states,high_vol,768,1.43359375,1.0
HMM,NASDAQ100,1d,hmm_4_states,low_vol,776,1.5,1.0
HMM,NASDAQ100,1d,hmm_4_states,medium_vol,883,1.5277463193657985,1.0
HMM,SP500,1d,hmm_4_states,extreme_vol,149,2.0939597315436242,1.0
HMM,SP500,1d,hmm_4_states,high_vol,694,1.7146974063400577,1.0
HMM,SP500,1d,hmm_4_states,low_vol,765,1.7843137254901962,1.0
HMM,SP500,1d,hmm_4_states,medium_vol,768,1.5065104166666667,1.0
HMM,VIX,1d,hmm_4_states,extreme_vol,1,1.0,1.0
HMM,VIX,1d,hmm_4_states,high_vol,416,1.5192307692307692,1.0
HMM,VIX,1d,hmm_4_states,low_vol,857,1.8331388564760793,1.0
HMM,VIX,1d,hmm_4_states,medium_vol,960,1.8958333333333333,1.0
quantile,BTCUSDT,15m,quantile_2_rolling_240,high_vol,1179,89.17726887192536,51.0
quantile,BTCUSDT,15m,quantile_2_rolling_240,low_vol,1180,89.10169491525424,23.0
quantile,BTCUSDT,15m,quantile_2_rolling_30,high_vol,1179,89.17726887192536,51.0
quantile,BTCUSDT,15m,quantile_2_rolling_30,low_vol,1180,89.10169491525424,23.0
quantile,BTCUSDT,15m,quantile_2_rolling_60,high_vol,1179,89.17726887192536,51.0
quantile,BTCUSDT,15m,quantile_2_rolling_60,low_vol,1180,89.10169491525424,23.0
quantile,BTCUSDT,15m,quantile_3_rolling_240,high_vol,1011,69.33135509396637,37.0
quantile,BTCUSDT,15m,quantile_3_rolling_240,low_vol,1109,63.20378719567178,16.0
quantile,BTCUSDT,15m,quantile_3_rolling_240,medium_vol,2089,33.55337482048827,20.0
quantile,BTCUSDT,15m,quantile_3_rolling_30,high_vol,1011,69.33135509396637,37.0
quantile,BTCUSDT,15m,quantile_3_rolling_30,low_vol,1109,63.20378719567178,16.0
quantile,BTCUSDT,15m,quantile_3_rolling_30,medium_vol,2089,33.55337482048827,20.0
quantile,BTCUSDT,15m,quantile_3_rolling_60,high_vol,1011,69.33135509396637,37.0
quantile,BTCUSDT,15m,quantile_3_rolling_60,low_vol,1109,63.20378719567178,16.0
quantile,BTCUSDT,15m,quantile_3_rolling_60,medium_vol,2089,33.55337482048827,20.0
quantile,BTCUSDT,15m,quantile_4_rolling_240,extreme_vol,862,60.98607888631091,29.0
quantile,BTCUSDT,15m,quantile_4_rolling_240,high_vol,1995,26.350877192982455,16.0
